Date;Price;Open;High;Low;Vol.;Change %
02/25/2005;1,887.33;1,874.79;1,888.14;1,874.79;;0.67%
02/24/2005;1,874.79;1,855.62;1,875.02;1,855.62;;1.03%
02/23/2005;1,855.62;1,847.95;1,856.27;1,847.85;;0.42%
02/22/2005;1,847.95;1,843.74;1,851.07;1,841.45;;0.23%
02/21/2005;1,843.74;1,838.44;1,847.66;1,838.44;;0.29%
02/18/2005;1,838.44;1,832.43;1,839.01;1,832.28;;0.33%
02/17/2005;1,832.43;1,827.30;1,832.43;1,827.30;;0.28%
02/16/2005;1,827.30;1,829.18;1,831.93;1,824.70;;-0.10%
02/15/2005;1,829.18;1,828.25;1,830.74;1,826.46;;0.05%
02/14/2005;1,828.25;1,825.34;1,830.04;1,825.34;;0.16%
02/11/2005;1,825.34;1,828.09;1,828.77;1,817.13;;-0.15%
02/10/2005;1,828.09;1,826.18;1,831.69;1,825.59;;0.10%
02/09/2005;1,826.18;1,836.34;1,840.44;1,825.56;;-0.55%
02/08/2005;1,836.34;1,829.28;1,840.48;1,829.28;;0.39%
02/07/2005;1,829.28;1,815.54;1,829.85;1,815.53;;0.76%
02/04/2005;1,815.54;1,805.43;1,816.01;1,805.43;;0.56%
02/03/2005;1,805.43;1,802.45;1,806.94;1,801.97;;0.17%
02/02/2005;1,802.45;1,803.58;1,809.60;1,801.09;;-0.06%
02/01/2005;1,803.58;1,809.88;1,817.38;1,803.02;;-0.35%
01/31/2005;1,809.88;1,799.67;1,813.32;1,799.67;;0.57%
01/28/2005;1,799.67;1,793.85;1,813.74;1,792.16;;0.32%
01/27/2005;1,793.85;1,772.62;1,793.99;1,772.62;;1.20%
01/26/2005;1,772.62;1,757.87;1,776.27;1,757.87;;0.84%
01/25/2005;1,757.87;1,746.31;1,758.69;1,746.13;;0.66%
01/24/2005;1,746.31;1,753.34;1,753.80;1,745.94;;-0.40%
01/21/2005;1,753.34;1,755.53;1,762.39;1,752.71;;-0.12%
01/20/2005;1,755.53;1,743.78;1,756.48;1,744.34;;0.67%
01/19/2005;1,743.78;1,726.65;1,744.47;1,723.96;;0.99%
01/18/2005;1,726.65;1,745.31;1,745.69;1,725.12;;-1.07%
01/17/2005;1,745.31;1,745.31;1,752.92;1,741.62;;0.00%
01/14/2005;1,745.31;1,733.64;1,745.31;1,733.64;;0.67%
01/13/2005;1,733.64;1,710.07;1,734.52;1,710.07;;1.38%
01/12/2005;1,710.07;1,717.08;1,726.04;1,707.10;;-0.41%
01/11/2005;1,717.08;1,754.39;1,754.39;1,707.48;;-2.13%
01/10/2005;1,754.39;1,764.46;1,765.79;1,753.98;;-0.57%
01/07/2005;1,764.46;1,750.70;1,765.44;1,747.63;;0.79%
01/06/2005;1,750.70;1,767.74;1,767.74;1,748.77;;-0.96%
01/05/2005;1,767.74;1,781.05;1,781.30;1,765.37;;-0.75%
01/04/2005;1,781.05;1,795.89;1,795.89;1,779.25;;-0.83%
01/03/2005;1,795.89;1,796.48;1,804.94;1,795.47;;-0.03%
12/30/2004;1,796.48;1,797.45;1,801.94;1,795.43;;-0.05%
12/29/2004;1,797.45;1,794.97;1,804.48;1,794.83;;0.14%
12/28/2004;1,794.97;1,793.67;1,802.13;1,789.22;;0.07%
12/27/2004;1,793.67;1,811.35;1,811.56;1,791.55;;-0.98%
12/24/2004;1,811.35;1,815.88;1,817.45;1,810.93;;-0.25%
12/23/2004;1,815.88;1,825.34;1,827.37;1,813.38;;-0.52%
12/22/2004;1,825.34;1,810.10;1,826.35;1,810.10;;0.84%
12/21/2004;1,810.10;1,798.26;1,811.09;1,797.48;;0.66%
12/20/2004;1,798.26;1,797.95;1,798.33;1,792.87;;0.02%
12/17/2004;1,797.95;1,798.93;1,803.79;1,797.67;;-0.05%
12/16/2004;1,798.93;1,800.68;1,804.13;1,795.80;;-0.10%
12/15/2004;1,800.68;1,801.30;1,809.92;1,799.70;;-0.03%
12/14/2004;1,801.30;1,790.01;1,804.43;1,789.38;;0.63%
12/13/2004;1,790.01;1,783.55;1,796.58;1,784.88;;0.36%
12/10/2004;1,783.55;1,770.40;1,786.98;1,770.09;;0.74%
12/09/2004;1,770.40;1,786.90;1,786.90;1,769.55;;-0.92%
12/07/2004;1,786.90;1,802.14;1,803.36;1,785.36;;-0.85%
12/06/2004;1,802.14;1,806.78;1,808.09;1,799.96;;-0.26%
12/03/2004;1,806.78;1,808.06;1,810.91;1,804.93;;-0.07%
12/02/2004;1,808.06;1,808.50;1,820.90;1,805.94;;-0.02%
12/01/2004;1,808.50;1,790.47;1,808.62;1,790.40;;1.01%
11/30/2004;1,790.47;1,775.39;1,790.76;1,775.39;;0.85%
11/29/2004;1,775.39;1,773.94;1,777.00;1,773.24;;0.08%
11/26/2004;1,773.94;1,775.53;1,781.97;1,771.90;;-0.09%
11/25/2004;1,775.53;1,770.21;1,778.31;1,770.21;;0.30%
11/24/2004;1,770.21;1,761.33;1,770.21;1,761.33;;0.50%
11/23/2004;1,761.33;1,748.71;1,762.13;1,748.71;;0.72%
11/22/2004;1,748.71;1,749.09;1,750.69;1,742.97;;-0.02%
11/18/2004;1,749.09;1,739.30;1,752.11;1,739.23;;0.56%
11/17/2004;1,739.30;1,733.90;1,746.77;1,733.73;;0.31%
11/16/2004;1,733.90;1,725.29;1,737.14;1,725.29;;0.50%
11/15/2004;1,725.29;1,740.98;1,742.94;1,720.39;;-0.90%
11/12/2004;1,740.98;1,741.53;1,746.64;1,739.54;;-0.03%
11/11/2004;1,741.53;1,745.32;1,746.75;1,732.57;;-0.22%
11/10/2004;1,745.32;1,750.12;1,750.76;1,742.35;;-0.27%
11/09/2004;1,750.12;1,759.29;1,761.63;1,745.93;;-0.52%
11/08/2004;1,759.29;1,768.21;1,769.34;1,753.41;;-0.50%
11/05/2004;1,768.21;1,774.92;1,779.62;1,766.89;;-0.38%
11/04/2004;1,774.92;1,771.34;1,776.84;1,764.16;;0.20%
11/03/2004;1,771.34;1,782.38;1,789.34;1,768.40;;-0.62%
11/02/2004;1,782.38;1,768.20;1,785.27;1,767.42;;0.80%
10/29/2004;1,768.20;1,758.84;1,778.96;1,757.17;;0.53%
10/28/2004;1,758.84;1,739.86;1,761.69;1,739.86;;1.09%
10/27/2004;1,739.86;1,725.20;1,740.56;1,725.20;;0.85%
10/26/2004;1,725.20;1,723.80;1,729.56;1,720.30;;0.08%
10/25/2004;1,723.80;1,749.38;1,750.09;1,723.50;;-1.46%
10/22/2004;1,749.38;1,739.26;1,752.83;1,739.26;;0.58%
10/21/2004;1,739.26;1,714.31;1,740.93;1,715.42;;1.46%
10/20/2004;1,714.31;1,727.56;1,727.90;1,707.61;;-0.77%
10/19/2004;1,727.56;1,721.47;1,740.72;1,720.96;;0.35%
10/18/2004;1,721.47;1,700.04;1,724.58;1,700.35;;1.26%
10/15/2004;1,700.04;1,681.31;1,702.19;1,681.11;;1.11%
10/14/2004;1,681.31;1,678.06;1,682.27;1,660.63;;0.19%
10/13/2004;1,678.06;1,691.15;1,699.62;1,677.90;;-0.77%
10/12/2004;1,691.15;1,703.44;1,703.89;1,680.54;;-0.72%
10/08/2004;1,703.44;1,716.72;1,719.16;1,702.38;;-0.77%
