"Periodo,""1.Dow Jones, EE.UU."",""2.Nasdaq, EE.UU."",""3.FTSE100, Reino Unido"",""4.Nikkei, Japón"",""5.CAC40, Francia"",""6.DAX, Alemania"",""7.KOSPI, Corea del Sur."",""8.CSI 300, China."",""9.FTSE Bursa Malaysia KLCI, Malasia."",""10.WIG, Polonia."",""11.MOEX Rusia, Rusia."",""12.Bangkok SET, Tailandia."",""13.TWSE, Taiwán, Provincia de China."",""14.BIST, Turquía."",""15.MERVAL, Argentina."",""16.IBOVESPA, Brasil."",""17.COLCAP, Colombia."",""18.S&P/BMV IPC , México."",""19.IGBVL, Perú."""
"17.May.1990,""2,831.71"",""445.74"",""2,284.40"",""32,061.60"",""2,103.94"",""1,841.58"",""773.43"","""",""559.46"","""","""",""908.79"",""7,927.17"",""0.40"",""108.80"",""0.00"","""","""",""0.99"""
"18.May.1990,""2,819.91"",""448.31"",""2,269.20"",""32,013.72"",""2,100.17"",""1,843.59"",""766.15"","""",""566.13"","""","""",""926.63"",""7,416.96"",""0.40"",""105.90"",""0.00"","""","""",""1.04"""
"21.May.1990,""2,844.68"",""452.89"",""2,282.00"",""31,765.05"",""2,092.21"",""1,811.18"",""770.28"","""",""570.63"","""","""",""957.96"",""6,992.89"",""0.40"",""100.30"",""0.00"","""","""",""1.08"""
"22.May.1990,""2,852.23"",""453.89"",""2,311.30"",""31,938.30"",""2,115.00"",""1,813.26"",""785.93"","""",""581.39"","""","""",""978.05"",""6,720.32"",""0.40"",""105.00"",""0.00"","""","""",""1.14"""
"23.May.1990,""2,856.26"",""456.87"",""2,287.40"",""32,176.51"",""2,123.34"",""1,831.80"",""787.91"","""",""583.63"","""","""",""974.69"",""7,014.40"",""0.40"",""101.20"",""0.00"","""","""",""1.24"""
"24.May.1990,""2,855.55"",""458.29"",""2,277.00"",""32,311.75"","""","""",""785.79"","""",""586.73"","""","""",""971.33"",""6,587.77"",""0.40"",""100.30"",""0.00"","""","""",""1.27"""
"25.May.1990,""2,820.92"",""453.69"",""2,265.60"",""32,793.88"",""2,111.90"",""1,823.17"",""790.73"","""",""586.51"","""","""",""976.83"",""6,146.44"",""0.39"","""",""0.00"","""","""",""1.26"""
"28.May.1990,"""","""","""",""33,191.61"",""2,114.39"",""1,828.96"",""778.23"","""",""586.04"","""","""",""983.07"","""",""0.39"",""95.40"",""0.00"","""","""",""1.34"""
"29.May.1990,""2,870.49"",""457.51"",""2,295.60"",""32,817.67"",""2,123.09"",""1,842.74"",""783.87"","""",""581.80"","""","""",""975.50"",""6,703.06"",""0.39"",""96.16"",""0.00"","""","""",""1.37"""
"30.May.1990,""2,878.56"",""458.77"",""2,346.00"",""32,926.26"",""2,120.80"",""1,840.54"",""789.89"","""",""582.26"","""","""",""987.31"",""6,857.00"",""0.38"",""94.37"",""0.00"","""","""",""1.47"""
"31.May.1990,""2,876.66"",""458.97"",""2,345.20"",""33,130.80"",""2,107.51"",""1,844.41"",""797.95"","""",""583.87"","""","""",""1,000.71"",""7,290.88"",""0.38"",""95.81"",""0.00"","""","""",""1.56"""
"01.Jun.1990,""2,900.97"",""462.13"",""2,371.30"",""32,891.12"",""2,087.60"",""1,856.95"",""803.64"","""",""586.54"","""","""",""1,012.79"",""7,664.48"",""0.40"",""90.48"",""0.00"","""","""",""1.57"""
